Symbol,Category
TEXRAIL,SmallCap
SUNTECK,SmallCap
RATEGAIN,SmallCap
BANCOINDIA,SmallCap
MIDHANI,SmallCap
SENCO,SmallCap
TI,SmallCap
HNDFDS,SmallCap
KSCL,SmallCap
V2RETAIL,SmallCap
TIIL,SmallCap
GHCL,SmallCap
PGIL,SmallCap
ASHOKA,SmallCap
IXIGO,SmallCap
ANUP,SmallCap
TVSSCS,SmallCap
SURYAROSNI,SmallCap
RTNPOWER,SmallCap
MAHLIFE,SmallCap
SHOPERSTOP,SmallCap
ARVINDFASN,SmallCap
BANSALWIRE,SmallCap
ICIL,SmallCap
JKPAPER,SmallCap
ICRA,SmallCap
CSBBANK,SmallCap
THANGAMAYL,SmallCap
IFBIND,SmallCap
GULFOILLUB,SmallCap
SHARDACROP,SmallCap
UNIMECH,SmallCap
SUPRAJIT,SmallCap
AHLUCONT,SmallCap
RESPONIND,SmallCap
INFIBEAM,SmallCap
RAJESHEXPO,SmallCap
REFEX,SmallCap
ENTERO,SmallCap
PRICOLLTD,SmallCap
AVL,SmallCap
SUPRIYA,SmallCap
WEBELSOLAR,SmallCap
NIITMTS,SmallCap
DIACABS,SmallCap
LXCHEM,SmallCap
UEL,SmallCap
INOXGREEN,SmallCap
ZAGGLE,SmallCap
HCC,SmallCap
JKIL,SmallCap
AGI,SmallCap
GREAVESCOT,SmallCap
GAEL,SmallCap
AVALON,SmallCap
EMIL,SmallCap
INDIGOPNTS,SmallCap
PROTEAN,SmallCap
SKIPPER,SmallCap
INNOVACAP,SmallCap
KRN,SmallCap
SKYGOLD,SmallCap
ITDC,SmallCap
GMMPFAUDLR,SmallCap
SPARC,SmallCap
ORCHPHARMA,SmallCap
VIPIND,SmallCap
SUNCLAY,SmallCap
RALLIS,SmallCap
PILANIINVS,SmallCap
E2E,SmallCap
VSTIND,SmallCap
STYRENIX,SmallCap
SHARDAMOTR,SmallCap
QUESS,SmallCap
SIS,SmallCap
OPTIEMUS,SmallCap
PARAS,SmallCap
RAIN,SmallCap
MASFIN,SmallCap
ORIENTELEC,SmallCap
PTC,SmallCap
JSFB,SmallCap
BANARISUG,SmallCap
JCHAC,SmallCap
CEIGALL,SmallCap
BALAMINES,SmallCap
HIKAL,SmallCap
AWFIS,SmallCap
MTARTECH,SmallCap
NFL,SmallCap
DYNAMATECH,SmallCap
NEOGEN,SmallCap
HEIDELBERG,SmallCap
UNICHEMLAB,SmallCap
SUNFLAG,SmallCap
GUJALKALI,SmallCap
KITEX,SmallCap
RSYSTEMS,SmallCap
GOCOLORS,SmallCap
THYROCARE,SmallCap
LUXIND,SmallCap
YATHARTH,SmallCap
LUMAXTECH,SmallCap
VRLLOG,SmallCap
DBCORP,SmallCap
INDIAGLYCO,SmallCap
EASEMYTRIP,SmallCap
TARC,SmallCap
SWARAJENG,SmallCap
WONDERLA,SmallCap
SUBROS,SmallCap
MPSLTD,SmallCap
SHAREINDIA,SmallCap
GOLDIAM,SmallCap
APOLLO,SmallCap
BOROLTD,SmallCap
JISLJALEQS,SmallCap
BHARATRAS,SmallCap
ROLEXRINGS,SmallCap
SEQUENT,SmallCap
RAYMOND,SmallCap
VAIBHAVGBL,SmallCap
DHANI,SmallCap
CIGNITITEC,SmallCap
CARERATING,SmallCap
EIEL,SmallCap
GOKULAGRO,SmallCap
RBA,SmallCap
NPST,SmallCap
LGBBROSLTD,SmallCap
FIEMIND,SmallCap
MCLOUD,SmallCap
GANECOS,SmallCap
HEMIPROP,SmallCap
SAMHI,SmallCap
INDOSTAR,SmallCap
DCBBANK,SmallCap
PITTIENG,SmallCap
GOPAL,SmallCap
HERITGFOOD,SmallCap
INDRAMEDCO,SmallCap
POLYPLEX,SmallCap
ASHAPURMIN,SmallCap
GUFICBIO,SmallCap
EPACK,SmallCap
UFLEX,SmallCap
STLTECH,SmallCap
MSTCLTD,SmallCap
ROSSARI,SmallCap
AXISCADES,SmallCap
CYIENTDLM,SmallCap
BHAGCHEM,SmallCap
KINGFA,SmallCap
ARTEMISMED,SmallCap
KIRLOSIND,SmallCap
IMFA,SmallCap
EMSLIMITED,SmallCap
PATELENG,SmallCap
AARTIDRUGS,SmallCap
RPGLIFE,SmallCap
SHANTIGEAR,SmallCap
GREENPLY,SmallCap
DCAL,SmallCap
DATAMATICS,SmallCap
IMAGICAA,SmallCap
HARSHA,SmallCap
63MOONS,SmallCap
KSL,SmallCap
JAYNECOIND,SmallCap
JASH,SmallCap
VADILALIND,SmallCap
TEAMLEASE,SmallCap
JTEKTINDIA,SmallCap
FEDFINA,SmallCap
MEDIASSIST,SmallCap
RAMKY,SmallCap
PARKHOTELS,SmallCap
TCPLPACK,SmallCap
PRINCEPIPE,SmallCap
AJMERA,SmallCap
ADVENZYMES,SmallCap
POKARNA,SmallCap
GREENPANEL,SmallCap
BBL,SmallCap
CAMLINFINE,SmallCap
ALLCARGO,SmallCap
JAMNAAUTO,SmallCap
DPABHUSHAN,SmallCap
VSTTILLERS,SmallCap
GATEWAY,SmallCap
SUVEN,SmallCap
KDDL,SmallCap
BALMLAWRIE,SmallCap
NSIL,SmallCap
DIGITIDE,SmallCap
SIYSIL,SmallCap
KIRIINDUS,SmallCap
NOCIL,SmallCap
PAISALO,SmallCap
MOSCHIP,SmallCap
ORISSAMINE,SmallCap
AVANTEL,SmallCap
SANATHAN,SmallCap
SSWL,SmallCap
DCXINDIA,SmallCap
ARVSMART,SmallCap
MOREPENLAB,SmallCap
PFOCUS,SmallCap
NORTHARC,SmallCap
GUJTHEM,SmallCap
SJS,SmallCap
SGLTL,SmallCap
WSTCSTPAPR,SmallCap
JTLIND,SmallCap
NAVNETEDUL,SmallCap
QPOWER,SmallCap
ASHIANA,SmallCap
JINDALPOLY,SmallCap
DEEPINDS,SmallCap
ARKADE,SmallCap
SINDHUTRAD,SmallCap
DALMIASUG,SmallCap
KKCL,SmallCap
FCL,SmallCap
BOMDYEING,SmallCap
VISHNU,SmallCap
GENESYS,SmallCap
HPL,SmallCap
STYLAMIND,SmallCap
CAPACITE,SmallCap
SERVOTECH,SmallCap
BAJAJHIND,SmallCap
RPSGVENT,SmallCap
PRABHA,SmallCap
MTNL,SmallCap
MAITHANALL,SmallCap
SOTL,SmallCap
KPEL,SmallCap
